 fixture_id | league_id | season |        date_utc        | status_short | home_team_id | away_team_id 
    1180507 |        71 |   2024 | 2024-07-12 00:30:00+00 | FT           |          136 |          120
    1180516 |        71 |   2024 | 2024-07-13 19:00:00+00 | FT           |          135 |          794
    1180517 |        71 |   2024 | 2024-07-13 19:00:00+00 | FT           |          118 |         1193
    1180524 |        71 |   2024 | 2024-07-16 22:00:00+00 | FT           |          152 |         1062
    1180520 |        71 |   2024 | 2024-07-17 00:00:00+00 | FT           |          131 |          140
    1180523 |        71 |   2024 | 2024-07-17 22:00:00+00 | FT           |          144 |          133
    1180521 |        71 |   2024 | 2024-07-17 23:00:00+00 | FT           |          126 |          130
    1180519 |        71 |   2024 | 2024-07-18 00:30:00+00 | FT           |          120 |          121
    1180522 |        71 |   2024 | 2024-07-18 00:30:00+00 | FT           |          154 |          136
    1180528 |        71 |   2024 | 2024-07-20 19:00:00+00 | FT           |          127 |          140
    1180529 |        71 |   2024 | 2024-07-20 21:30:00+00 | FT           |          120 |          119
    1180530 |        71 |   2024 | 2024-07-21 00:00:00+00 | FT           |          121 |          135
    1180525 |        71 |   2024 | 2024-07-21 14:00:00+00 | FT           |          130 |          136
    1180526 |        71 |   2024 | 2024-07-21 19:00:00+00 | FT           |         1062 |          133
    1180527 |        71 |   2024 | 2024-07-21 19:00:00+00 | FT           |          118 |          131
    1180531 |        71 |   2024 | 2024-07-21 21:30:00+00 | FT           |          794 |          134
    1180532 |        71 |   2024 | 2024-07-21 21:30:00+00 | FT           |          154 |          144
    1180534 |        71 |   2024 | 2024-07-21 21:30:00+00 | FT           |          152 |          126
    1180533 |        71 |   2024 | 2024-07-21 23:00:00+00 | FT           |         1193 |          124
    1180384 |        71 |   2024 | 2024-07-24 22:00:00+00 | FT           |          140 |          154
    1180536 |        71 |   2024 | 2024-07-24 22:00:00+00 | FT           |          135 |          152
    1180541 |        71 |   2024 | 2024-07-24 22:30:00+00 | FT           |          126 |          120
    1180537 |        71 |   2024 | 2024-07-24 23:00:00+00 | FT           |          136 |          127
    1180538 |        71 |   2024 | 2024-07-25 00:30:00+00 | FT           |          124 |          121
    1180543 |        71 |   2024 | 2024-07-25 00:30:00+00 | FT           |          144 |          118
    1180540 |        71 |   2024 | 2024-07-25 23:00:00+00 | FT           |          131 |          130
    1180550 |        71 |   2024 | 2024-07-27 22:00:00+00 | FT           |          121 |          136
    1180554 |        71 |   2024 | 2024-07-27 22:00:00+00 | FT           |          152 |          140
    1180547 |        71 |   2024 | 2024-07-27 23:00:00+00 | FT           |          118 |          119
    1180549 |        71 |   2024 | 2024-07-28 00:30:00+00 | FT           |          120 |          135
    1180552 |        71 |   2024 | 2024-07-28 00:30:00+00 | FT           |          154 |          126
    1180551 |        71 |   2024 | 2024-07-28 14:00:00+00 | FT           |          794 |          124
    1180548 |        71 |   2024 | 2024-07-28 19:00:00+00 | FT           |          127 |          144
    1180545 |        71 |   2024 | 2024-07-28 22:00:00+00 | FT           |          130 |          133
    1180546 |        71 |   2024 | 2024-07-28 22:00:00+00 | FT           |         1062 |          131
    1180553 |        71 |   2024 | 2024-07-28 22:00:00+00 | FT           |         1193 |          134
    1180557 |        71 |   2024 | 2024-08-03 19:00:00+00 | FT           |          136 |         1193
    1180559 |        71 |   2024 | 2024-08-03 22:00:00+00 | FT           |          133 |          794
    1180563 |        71 |   2024 | 2024-08-03 23:00:00+00 | FT           |          144 |          120
    1180564 |        71 |   2024 | 2024-08-03 23:00:00+00 | FT           |          140 |         1062
    1180561 |        71 |   2024 | 2024-08-04 00:30:00+00 | FT           |          126 |          127
    1180558 |        71 |   2024 | 2024-08-04 19:00:00+00 | FT           |          124 |          118
    1180560 |        71 |   2024 | 2024-08-04 19:00:00+00 | FT           |          131 |          152
    1180562 |        71 |   2024 | 2024-08-04 19:00:00+00 | FT           |          134 |          130
    1180555 |        71 |   2024 | 2024-08-04 20:00:00+00 | FT           |          119 |          121
    1180556 |        71 |   2024 | 2024-08-06 00:00:00+00 | FT           |          135 |          154
    1180572 |        71 |   2024 | 2024-08-10 19:00:00+00 | FT           |          154 |          140
    1180573 |        71 |   2024 | 2024-08-10 22:00:00+00 | FT           |         1193 |          130
    1180566 |        71 |   2024 | 2024-08-11 00:30:00+00 | FT           |          135 |         1062
    1180569 |        71 |   2024 | 2024-08-11 00:30:00+00 | FT           |          133 |          124
    1180570 |        71 |   2024 | 2024-08-11 00:30:00+00 | FT           |          131 |          794
    1180574 |        71 |   2024 | 2024-08-11 14:00:00+00 | FT           |          152 |          120
    1180567 |        71 |   2024 | 2024-08-11 19:00:00+00 | FT           |          118 |          136
    1180568 |        71 |   2024 | 2024-08-11 19:00:00+00 | FT           |          127 |          121
    1180571 |        71 |   2024 | 2024-08-11 19:00:00+00 | FT           |          126 |          144
    1180565 |        71 |   2024 | 2024-08-11 22:00:00+00 | FT           |          119 |          134
    1180405 |        71 |   2024 | 2024-08-14 22:30:00+00 | FT           |          119 |          152
    1180575 |        71 |   2024 | 2024-08-17 19:00:00+00 | FT           |          130 |          118
    1180576 |        71 |   2024 | 2024-08-17 19:00:00+00 | FT           |         1062 |         1193
    1180581 |        71 |   2024 | 2024-08-17 21:30:00+00 | FT           |          794 |          154
    1180578 |        71 |   2024 | 2024-08-18 00:00:00+00 | FT           |          124 |          131
    1180580 |        71 |   2024 | 2024-08-18 19:00:00+00 | FT           |          121 |          126
    1180583 |        71 |   2024 | 2024-08-18 19:00:00+00 | FT           |          144 |          119
    1180584 |        71 |   2024 | 2024-08-18 19:00:00+00 | FT           |          140 |          133
    1180579 |        71 |   2024 | 2024-08-18 21:30:00+00 | FT           |          120 |          127
    1180582 |        71 |   2024 | 2024-08-18 21:30:00+00 | FT           |          134 |          152
    1180577 |        71 |   2024 | 2024-08-19 23:00:00+00 | FT           |          136 |          135
    1180593 |        71 |   2024 | 2024-08-24 19:00:00+00 | FT           |          144 |          152
    1180590 |        71 |   2024 | 2024-08-24 21:30:00+00 | FT           |          121 |         1193
    1180586 |        71 |   2024 | 2024-08-25 00:00:00+00 | FT           |         1062 |          124
